id;distances_Q1;distances_Q2;distances_Q3;distances_Q4
1072005; 61870,0890; 1486,9122;51841,2858;     0,00000
1072008; 96295,8511;26360,2168;32644,3390; 13305,99625
1028002; 24864,1263;    0,0000;47752,7341; 17397,03363
1045001;     0,0000;14409,8785;50967,2822;  9394,34364
1045006; 13000,3510;17366,2602;47002,3202;     0,00000
1072009; 37850,2074;13346,0106;77333,3509; 17314,14216
1089007;115801,1794;17820,8817;54601,7007; 18284,65312
1010004; 72458,0935;24570,3376;21298,9685; 10703,14902
1035006; 42423,5526;22792,0556;42948,5444; 12006,37201
1056004; 16593,2368;32312,9324;13186,4988; 56410,25064
1056006; 53427,7298;    0,0000;21385,3151; 33359,93313
1035007; 90618,5052;41892,5758;16312,2097;     0,00000
1045002; 43028,8829;13494,8224;33025,9026; 18697,60545
1045003; 41579,2178;14091,2709;44503,2166; 25629,65256
1035009;101451,0293;31241,2535;    0,0000; 15035,88000
1010003;102754,0788;33392,0894;50378,8768; 11532,49655
1052003; 75421,2828;    0,0000;12526,8037; 49379,52471
1035005; 76547,8438;14669,6099;16633,3562; 11192,05964
1052001; 39175,0942;21524,7930;12390,3948; 56169,92868
1045005; 30393,4821;35716,5261;14804,0219;  8900,72548
1067002;     0,0000;14790,4161;    0,0000;  5102,87490
1053003;126411,1436;28051,9152; 9953,2341; 12553,13060
1053006;129552,7590;36054,2572;    0,0000; 10683,17530
1041003; 30818,6138; 9194,8650;88029,9134; 37388,88391
1072003; 57605,9963;    0,0000;74032,2286; 20129,39450
1028006; 58129,9919;    0,0000;65805,9455; 20753,99616
1089006; 79147,1970;10165,4812;16280,2079;  6128,27638
1089004; 50445,2869;14956,8139;    0,0000; 33922,49418
1068003;     0,0000; 4629,5475; 4403,4540;     0,00000
1088001; 26522,5899; 8306,7215; 8394,3149; 24724,22663
1022002;111417,8180;40619,2372;    0,0000;  9447,39837
1022001; 81744,5190;21937,1712;11808,2805; 29617,94650
1088005; 37046,6996;    0,0000; 4967,3702; 21464,86829
1088006; 55242,6483;14424,9597;21148,9860; 32166,93441
1045007; 51206,8595;25990,6073;10121,2022; 26529,51084
1035003;119686,1339;17611,2057;    0,0000; 19885,07351
1050005;159308,6943;10427,9381; 7550,6435; 48426,60265
1072002; 91736,1843;11737,2163;33818,4973;  1830,09720
1088003; 18709,3503;12344,4944;    0,0000; 35487,30528
1088007; 43424,0627;    0,0000;10272,1870; 14928,99215
1010002;104679,1409;23674,1301;47214,6294; 21711,26146
1010006; 73945,2489;37836,8079;37532,5872;     0,00000
1028005; 32535,9451;15909,0892;14511,7829; 15689,56023
1078003; 25924,1930;28635,9857;    0,0000; 24205,50840
1072006; 86789,0762;    0,0000;54577,8193;  3661,84963
1061006; 97919,0891;11529,1288;47871,4968; 18274,08620
1061001;111914,9327;12507,3641;22440,7919;     0,00000
1053007;122556,3973;25080,0942;12136,2697;  9290,92198
1010005; 38145,3530;11294,5285;21614,0646; 15276,89809
1088010; 15312,1121;    0,0000;21590,0921; 20965,09535
1054001; 28519,3087;15864,6918;33679,2699; 12371,10614
1054002; 38760,3635;19405,7910;34076,4972; 10605,46049
1067001;  5989,1945;    0,0000;    0,0000; 12436,78388
1022008; 34248,0777;17221,1348;23976,8085; 44273,06109
1022009; 66246,2956; 6130,8428;    0,0000; 44586,41084
1077003; 36330,1541;14628,2731; 7411,7913; 44725,98993
1077004; 13189,0377;    0,0000;17446,5918; 49453,20209
1077002; 12732,9713;18843,5744;    0,0000; 18975,86097
1078002; 22530,2582;18790,1316; 9187,7799; 16507,34844
1052004; 95064,5328;13307,0164;42120,1983; 24060,37861
1010001; 62021,1830;18728,1240;28822,1103; 10774,98069
1052006;118434,4427;    0,0000;55069,3021; 15561,74698
1061004;150029,5027; 1920,2517; 9449,1060; 32488,06265
1061003; 69336,3676; 2259,3747;56266,6234; 20937,59986
1028003; 70953,2110;13810,8823;34083,4898; 10784,89482
1054004; 43621,9375; 8942,4277;26231,5399;     0,00000
1054009; 63455,1992; 6489,4971; 8924,6421; 13084,68017
1054008; 84525,3694;12983,8178;    0,0000;  9788,56554
1027006; 63830,1921; 4201,0100;10631,0519; 34234,05641
1055007; 85722,9056;18431,8509;10119,8572; 23449,92470
1055001; 91978,1154; 4231,5760;26090,8954;     0,00000
1054005; 69765,0661;12307,4724; 8352,2952;     0,00000
1054003; 24343,0664;31335,6440;53367,2429; 24111,24254
1051006; 77708,6342;    0,0000;36352,1285; 11803,88363
1051004; 22523,8076;13274,2366;    0,0000; 22941,67934
1078001;  4935,2722; 9104,1463;10733,5984; 11746,86167
1078009;  1646,7835; 7124,7405;    0,0000;     0,00000
1059001;     0,0000;24781,8570;35731,8621; 15993,24618
1059003; 27265,4742;27454,9737;16973,6946;     0,00000
1080003; 19060,1076;36057,3350;52026,6049; 14053,14781
1080005; 34637,4456;12999,6245;13511,5634; 17736,16109
1080002; 22107,0193;41665,0672;48028,9225;     0,00000
1062006;     0,0000;29672,8830;45745,7151; 20530,84647
1059008;  7759,4631;    0,0000;    0,0000;     0,00000
1059004; 12434,4718;16648,8118; 5100,9352;     0,00000
1060007; 40679,8198;41604,5958;53942,1448; 12687,05624
1076006;  8977,8552;17550,6786;43288,0008; 16368,28242
1080001;   985,6500;50866,4480;65914,3547;     0,00000
1060002; 58204,0355;17994,3663;50887,8297;  9512,73656
1008002; 14950,6414;17649,4556;52848,3550;  8445,00073
1008003; 39066,9767;    0,0000;29706,4646; 19032,30327
